id;batch_no;created_at;drier;region_id;user_id
1;theorize phony er;2023-11-20T07:59:34;25477;1;1
2;deep;2023-11-19T18:34:09;16533;2;2
3;violin this low;2023-11-20T06:44:47;6314;3;2
4;amidst unless;2023-11-19T13:19:09;28507;4;2
5;though;2023-11-19T15:09:48;13163;5;2
6;whose wiggly afternoon;2023-11-19T16:01:04;23489;6;2
7;commingle;2023-11-20T01:12:04;29446;7;1
8;smooth voluntarily astride;2023-11-19T18:59:39;19437;8;2
9;thorny afore gleefully;2023-11-20T06:30:47;5858;9;1
10;vice alphabet;2023-11-20T08:59:37;16381;10;2
