id;created_at;total_items_in_warehouse;total_items_in_sales;total_items_in_rework;total_items_in_packing;total_items
1;2023-11-20T09:13:25;14333;558;4136;16549;9180
2;2023-11-19T23:52:30;24975;28089;30959;14901;4619
3;2023-11-19T19:25:31;18642;19857;25682;29059;25663
4;2023-11-20T01:33:07;2542;21678;4876;4915;10362
5;2023-11-19T11:39:06;10855;6530;459;21142;8060
6;2023-11-20T00:54:52;3040;18669;10812;22500;15892
7;2023-11-19T13:09:51;5957;11267;27172;4917;9039
8;2023-11-20T09:17:12;22665;15643;22644;311;5952
9;2023-11-19T23:42:46;19453;22966;19434;32166;5515
10;2023-11-19T21:40:19;7140;18026;10481;32765;15146
