id;uicode;pdn_date;package_date;weight_received;weight_balance;number_of_ct_ns;received_ct_ns;start_ctn_number;end_ctn_number;number_of_ct_ns_reworked;number_of_ct_ns_sold;number_of_ct_ns_packed;number_of_ct_ns_in_warehouse;created_at;lot_detail_id;style_id;user_id
1;complex fiercely;2023-11-19;2023-11-19;9690.45;7720.9;25346;12429;25408;9503;30686;21191;8021;31636;2023-11-19T16:41:02;1;1;1
2;rarely;2023-11-19;2023-11-19;4795.34;15404.17;22231;30501;21803;22504;14474;2051;16611;18352;2023-11-20T02:12:37;2;2;2
3;havoc shakedown;2023-11-20;2023-11-19;30311.3;3559.46;18851;18110;344;23533;16685;13087;5223;27087;2023-11-19T21:55:23;3;3;1
4;ew similarity spawn;2023-11-20;2023-11-19;2174.01;16364.69;27585;20147;23460;22070;14649;1983;26771;1840;2023-11-20T05:52:59;4;4;2
5;furthermore;2023-11-19;2023-11-19;23069.3;29454.88;2030;10762;13878;10522;3195;7773;16208;10286;2023-11-19T12:09:38;5;5;1
6;bleak disbelieve;2023-11-20;2023-11-19;1509.61;18452.01;12345;6168;27787;18658;12677;3759;5050;10611;2023-11-20T04:51:46;6;6;1
7;boastfully properly even;2023-11-20;2023-11-19;17596.83;22228.35;27128;10700;30965;4125;29448;13966;4820;7974;2023-11-20T09:10:01;7;7;1
8;circa masterpiece wholly;2023-11-19;2023-11-19;1906.12;12026.59;3725;3462;21801;3234;5360;14391;32486;213;2023-11-20T05:56:04;8;8;2
9;besides;2023-11-20;2023-11-19;14819.75;26828.43;24332;3984;3142;7183;23352;24373;29121;6488;2023-11-19T18:48:00;9;9;2
10;pillow imperfect grubby;2023-11-19;2023-11-19;3014.21;31931.47;1133;16169;7975;30937;25339;31282;30818;20223;2023-11-19T23:49:01;10;10;1
