id;uicode;pdn_date;rework_date;number_of_ct_ns;start_ctn_number;end_ctn_number;status;created_at;warehouse_detail_id;lot_detail_id;user_id
1;eek creator pottery;2023-11-20;2023-11-19;17181;19849;11519;COMPLETE;2023-11-19T15:27:12;1;1;1
2;over clear;2023-11-19;2023-11-20;20261;16861;8985;COMPLETE;2023-11-19T18:36:39;2;2;2
3;surfboard before;2023-11-19;2023-11-19;1554;24026;515;PENDING;2023-11-20T06:24:25;3;3;1
4;dismantle barring;2023-11-19;2023-11-20;28278;6021;9504;COMPLETE;2023-11-19T21:10:09;4;4;2
5;lapse posterior;2023-11-20;2023-11-19;7167;9490;24045;PENDING;2023-11-19T22:09:09;5;5;2
6;fixed although;2023-11-20;2023-11-19;10394;27668;15960;PENDING;2023-11-20T08:10:42;6;6;2
7;although;2023-11-19;2023-11-20;23446;10044;26148;COMPLETE;2023-11-19T14:12:41;7;7;2
8;absolute;2023-11-19;2023-11-19;29014;22933;15272;PENDING;2023-11-19T23:33:10;8;8;2
9;steady;2023-11-19;2023-11-19;26826;20251;18540;PENDING;2023-11-20T03:21:35;9;9;2
10;woot;2023-11-19;2023-11-20;11446;21574;4213;COMPLETE;2023-11-19T13:34:13;10;10;1
