id;uicode;sales_date;number_of_ct_ns;received_ct_ns;start_ctn_number;end_ctn_number;created_at;warehouse_detail_id;lot_detail_id;style_id;user_id
1;than since livid;2023-11-19;12121;7954;11016;17167;2023-11-19T17:44:57;1;1;1;1
2;yuck divine poorly;2023-11-19;2;13041;30613;17263;2023-11-19T18:57:24;2;2;2;2
3;of coverage;2023-11-19;27303;26379;21172;31309;2023-11-20T08:04:01;3;3;3;2
4;vastly;2023-11-19;14172;21052;28825;26241;2023-11-20T05:45:51;4;4;4;2
5;utterly yum procurement;2023-11-20;21693;28229;14406;12996;2023-11-19T17:17:16;5;5;5;1
6;utterly;2023-11-19;23815;23689;6900;12774;2023-11-19T16:15:18;6;6;6;1
7;um;2023-11-19;16237;2090;3471;27356;2023-11-20T03:38:40;7;7;7;2
8;dreamily outside;2023-11-19;28719;5442;16994;26634;2023-11-19T13:34:39;8;8;8;2
9;fast;2023-11-19;4620;11157;18505;29881;2023-11-19T13:01:29;9;9;9;1
10;defend;2023-11-19;19371;2634;15950;27555;2023-11-19T20:30:32;10;10;10;2
