id;created_at;total_style_in_warehouse;total_style_in_sales;total_style_in_rework;total_style_in_packing;total_style;style_id
1;2023-11-20T09:23:19;7665;27360;20377;721;43;1
2;2023-11-19T22:53:10;24601;29102;9853;21601;26695;2
3;2023-11-19T10:21:59;9738;20495;18507;26723;14223;3
4;2023-11-20T05:52:56;30549;16745;27391;16395;370;4
5;2023-11-19T21:30:55;3073;7984;6893;2131;25598;5
6;2023-11-20T00:41:05;17473;8222;31095;14626;23955;6
7;2023-11-19T22:08:11;14657;17931;24248;15132;8019;7
8;2023-11-19T10:29:04;5207;30777;11911;1143;28806;8
9;2023-11-19T14:38:06;20631;19058;2046;13154;12522;9
10;2023-11-19T17:56:13;8621;21764;17046;26601;9135;10
