id;uicode;warehouse_date;number_of_ct_ns;received_ct_ns;start_ctn_number;end_ctn_number;created_at;packing_zone_detail_id;lot_detail_id;style_id;user_id
1;which abnormally before;2023-11-19;20701;23779;10177;8109;2023-11-19T14:25:24;1;1;1;1
2;publishing can;2023-11-19;5623;23430;4449;1227;2023-11-19T21:46:38;2;2;2;2
3;yuck justify leer;2023-11-19;17539;17577;9805;5438;2023-11-20T09:42:56;3;3;3;2
4;phooey ethical;2023-11-20;14830;11321;19416;10281;2023-11-19T18:09:41;4;4;4;1
5;bah;2023-11-20;3743;19698;30779;1228;2023-11-19T15:23:13;5;5;5;2
6;gratefully;2023-11-19;8752;21062;12557;15554;2023-11-19T12:13:15;6;6;6;1
7;doze sale but;2023-11-19;2436;6254;9217;29382;2023-11-20T04:44:24;7;7;7;2
8;ew;2023-11-19;5157;10336;19758;296;2023-11-19T10:59:10;8;8;8;2
9;zowie ugh;2023-11-20;11493;30706;14343;22586;2023-11-19T22:40:53;9;9;9;2
10;clearance;2023-11-19;20076;7316;746;23476;2023-11-20T03:25:37;10;10;10;1
